1,592206.571,2980232.21,1.50599991
2,592196.564,2980228.23,2.39640308
3,592187.042,2980225.8,2.43989026
4,592177.591,2980260.72,2.37389534
5,592186.368,2980261.76,2.30831955
6,592184.043,2980293.97,1.37552494
7,592173.112,2980290.83,2.28892192
8,592165.13,2980293.7,2.26069088
9,592159.869,2980316.45,2.18838506
10,592168.394,2980318.03,2.02381988
11,592176.828,2980319.38,1.28224178
12,592171.953,2980341.46,1.25692517
13,592161.874,2980338.39,2.19536235
14,592153.763,2980335.71,2.12890027
15,592149.818,2980360.1,2.06571841
16,592157.151,2980361.62,2.1650992
17,592165.64,2980362.43,1.24650143
18,592162.547,2980388.02,1.1694048
19,592153.191,2980386.96,2.1329545
20,592145.889,2980384.82,2.0285499
21,592139.148,2980405.62,1.88310043
22,592149.573,2980406.95,2.08160809
23,592159.904,2980407.58,1.14408309
24,592160.446,2980428.49,1.08395521
25,592150.735,2980427.76,1.97750293
26,592136.876,2980428.55,1.62593186
27,592134.879,2980454.49,1.37589729
28,592128.359,2980455.15,2.08664031
29,592148.333,2980453.6,1.70844635
30,592165.124,2980450.7,0.86005983
31,592171.826,2980475.05,0.82333898
32,592158.792,2980477.48,1.37187055
33,592140.806,2980483.88,1.19334753
34,592132.701,2980487.62,2.15914614
35,592208.156,2980522.04,1.45882669
36,592219.899,2980519.19,1.48122174
37,592237.001,2980515.13,1.47780161
38,592254.434,2980509.18,1.48731886
